Billing Document,Document Number,POS Invoice No.,Business Area,Posting Date,Document Type,Document Date,Assignment,G/L Account,Cleared/open items symbol,Item,Line item,Purchasing Document,Quantity,Posting Period,Posting Key,Amount in local currency,Local Currency,Tax code,Clearing Document,Reference,Account,Special G/L Ind.,Cost Center,Company Code,Discount Percent 2,Debit/Credit Ind.,Text,Customer,User name,Offsetting acct no.,Vendor,Year/month,Offsett.account type,Site,Account Type
,5100020602,,,2/7/2025,RE,2/7/2025,20250207,10065000,,0,3,,0.000,11,40,828.00,INR,0B,,0072068552,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1654,,2024/11,K,,S
,5100020604,,,2/7/2025,RE,2/7/2025,20250207,10065000,,0,3,,0.000,11,40,154.80,INR,0B,,0072068568,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020604,,,2/7/2025,RE,2/7/2025,20250207,10065000,,0,5,,0.000,11,40,"1,810.80",INR,0B,,0072068568,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020662,,,2/9/2025,RE,2/9/2025,20250209,10065000,,0,3,,0.000,11,40,828.00,INR,0B,,0072068545,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1068,,2024/11,K,,S
,5100020765,,,2/10/2025,RE,2/10/2025,20250210,10065000,,0,3,,0.000,11,40,495.00,INR,0A,,0072068579,10065000,,,IN01,0.000,S,,,SAPAUTO,V-0887,,2024/11,K,,S
,5100020766,,,2/10/2025,RE,2/10/2025,20250210,10065000,,0,3,,0.000,11,40,"1,080.00",INR,0B,,0072068395,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020766,,,2/10/2025,RE,2/10/2025,20250210,10065000,,0,5,,0.000,11,40,"1,080.00",INR,0B,,0072068395,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020766,,,2/10/2025,RE,2/10/2025,20250210,10065000,,0,7,,0.000,11,40,"1,080.00",INR,0B,,0072068395,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020766,,,2/10/2025,RE,2/10/2025,20250210,10065000,,0,9,,0.000,11,40,598.80,INR,0B,,0072068395,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020766,,,2/10/2025,RE,2/10/2025,20250210,10065000,,0,11,,0.000,11,40,"1,068.00",INR,0B,,0072068395,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020766,,,2/10/2025,RE,2/10/2025,20250210,10065000,,0,13,,0.000,11,40,"1,080.00",INR,0B,,0072068395,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020766,,,2/10/2025,RE,2/10/2025,20250210,10065000,,0,15,,0.000,11,40,598.80,INR,0B,,0072068395,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020766,,,2/10/2025,RE,2/10/2025,20250210,10065000,,0,17,,0.000,11,40,598.80,INR,0B,,0072068395,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020931,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,3,,0.000,11,40,406.80,INR,0B,,0072068674,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1591,,2024/11,K,,S
,5100020931,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,5,,0.000,11,40,406.80,INR,0B,,0072068674,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1591,,2024/11,K,,S
,5100020932,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,3,,0.000,11,40,600.00,INR,0A,,0072068681,10065000,,,IN01,0.000,S,,,SAPAUTO,V-0911,,2024/11,K,,S
,5100020933,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,3,,0.000,11,40,"1,800.00",INR,0B,,0072068570,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020933,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,5,,0.000,11,40,480.00,INR,0B,,0072068570,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020933,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,7,,0.000,11,40,780.00,INR,0B,,0072068570,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020933,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,9,,0.000,11,40,100.00,INR,0A,,0072068570,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020933,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,11,,0.000,11,40,540.00,INR,0B,,0072068570,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020933,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,13,,0.000,11,40,540.00,INR,0B,,0072068570,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020933,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,15,,0.000,11,40,540.00,INR,0B,,0072068570,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020933,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,17,,0.000,11,40,540.00,INR,0B,,0072068570,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100020933,,,2/12/2025,RE,2/12/2025,20250212,10065000,,0,19,,0.000,11,40,540.00,INR,0B,,0072068570,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,1900004929,,,2/13/2025,KR,2/2/2025,20250213,10065000,,0,3,,0.000,11,40,696.81,INR,0C,,419,10065000,,,IN01,0.000,S,,,DHANSHREEB,500105,,2024/11,K,,S
,5100021028,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,3,,0.000,11,40,406.80,INR,0B,,0072068708,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1350,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,3,,0.000,11,40,85.50,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,5,,0.000,11,40,240.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,7,,0.000,11,40,150.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,9,,0.000,11,40,136.50,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,11,,0.000,11,40,99.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,13,,0.000,11,40,60.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,15,,0.000,11,40,67.50,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,17,,0.000,11,40,58.50,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,19,,0.000,11,40,34.50,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,21,,0.000,11,40,75.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,23,,0.000,11,40,48.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,25,,0.000,11,40,126.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,27,,0.000,11,40,156.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,29,,0.000,11,40,54.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,31,,0.000,11,40,126.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,33,,0.000,11,40,75.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,35,,0.000,11,40,75.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,37,,0.000,11,40,57.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,39,,0.000,11,40,81.90,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,41,,0.000,11,40,75.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021029,,,2/13/2025,RE,2/13/2025,20250213,10065000,,0,43,,0.000,11,40,123.00,INR,0I,,0072068701,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100021087,,,2/14/2025,RE,2/14/2025,20250214,10065000,,0,3,,0.000,11,40,"1,375.00",INR,0A,,0072068728,10065000,,,IN01,0.000,S,,,SAPAUTO,V-0911,,2024/11,K,,S
,5100021088,,,2/14/2025,RE,2/14/2025,20250214,10065000,,0,3,,0.000,11,40,540.00,INR,0B,,0072068704,10065000,,,IN01,0.000,S,,,SAPAUTO,V-0911,,2024/11,K,,S
,5100021105,,,2/15/2025,RE,2/15/2025,20250215,10065000,,0,3,,0.000,11,40,45.00,INR,0A,,0072068736,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1654,,2024/11,K,,S
,5100021105,,,2/15/2025,RE,2/15/2025,20250215,10065000,,0,5,,0.000,11,40,495.00,INR,0A,,0072068736,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1654,,2024/11,K,,S
,5100021115,,,2/15/2025,RE,2/15/2025,20250215,10065000,,0,3,,0.000,11,40,214.80,INR,0B,,0072068791,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1068,,2024/11,K,,S
,5100021116,,,2/15/2025,RE,2/15/2025,20250215,10065000,,0,3,,0.000,11,40,275.00,INR,0A,,0072068788,10065000,,,IN01,0.000,S,,,SAPAUTO,V-0887,,2024/11,K,,S
,5100021143,,,2/17/2025,RE,2/17/2025,20250217,10065000,,0,3,,0.000,11,40,37.50,INR,0I,,0072068767,10065000,,,IN01,0.000,S,,,SAPAUTO,V-0911,,2024/11,K,,S
,5100021332,,,2/19/2025,RE,2/19/2025,20250219,10065000,,0,3,,0.000,11,40,142.80,INR,0B,,0072068832,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1654,,2024/11,K,,S
,5100021333,,,2/19/2025,RE,2/19/2025,20250219,10065000,,0,3,,0.000,11,40,228.00,INR,0B,,0072068818,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1350,,2024/11,K,,S
,5100021333,,,2/19/2025,RE,2/19/2025,20250219,10065000,,0,5,,0.000,11,40,"1,920.00",INR,0B,,0072068818,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1350,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,3,,0.000,11,40,540.00,INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,5,,0.000,11,40,540.00,INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,7,,0.000,11,40,660.00,INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,9,,0.000,11,40,"1,080.00",INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,11,,0.000,11,40,550.80,INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,13,,0.000,11,40,550.80,INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,15,,0.000,11,40,226.80,INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,17,,0.000,11,40,226.80,INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,19,,0.000,11,40,"1,080.00",INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,21,,0.000,11,40,"1,560.00",INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,23,,0.000,11,40,828.00,INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,25,,0.000,11,40,"1,560.00",INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021433,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,27,,0.000,11,40,"1,440.00",INR,0B,,0072068758,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021434,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,3,,0.000,11,40,178.80,INR,0B,,0072068856,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1350,,2024/11,K,,S
,5100021435,,,2/20/2025,RE,2/20/2025,20250220,10065000,,0,3,,0.000,11,40,262.80,INR,0B,,0072068864,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1591,,2024/11,K,,S
,5100021467,,,2/21/2025,RE,2/21/2025,20250221,10065000,,0,3,,0.000,11,40,"1,800.00",INR,0B,,0072068887,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1591,,2024/11,K,,S
,5100021467,,,2/21/2025,RE,2/21/2025,20250221,10065000,,0,5,,0.000,11,40,"2,100.00",INR,0B,,0072068887,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1591,,2024/11,K,,S
,5100021513,,,2/22/2025,RE,2/22/2025,20250222,10065000,,0,3,,0.000,11,40,540.00,INR,0B,,0072068960,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1351,,2024/11,K,,S
,5100021532,,,2/24/2025,RE,2/24/2025,20250224,10065000,,0,3,,0.000,11,40,430.80,INR,0B,,0072068958,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1351,,2024/11,K,,S
,5100021617,,,2/24/2025,RE,2/24/2025,20250224,10065000,,0,3,,0.000,11,40,312.00,INR,0B,,0072068984,10065000,,,IN01,0.000,S,,,SAPAUTO,V-0887,,2024/11,K,,S
,5100021618,,,2/24/2025,RE,2/24/2025,20250224,10065000,,0,3,,0.000,11,40,226.80,INR,0B,,0072068997,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1351,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,3,,0.000,11,40,540.00,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,5,,0.000,11,40,598.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,7,,0.000,11,40,540.00,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,9,,0.000,11,40,540.00,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,11,,0.000,11,40,540.00,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,13,,0.000,11,40,"1,197.60",INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,15,,0.000,11,40,"1,197.60",INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,17,,0.000,11,40,190.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,19,,0.000,11,40,190.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,21,,0.000,11,40,190.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,23,,0.000,11,40,381.60,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,25,,0.000,11,40,190.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,27,,0.000,11,40,550.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,29,,0.000,11,40,550.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,31,,0.000,11,40,100.00,INR,0A,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,33,,0.000,11,40,40.00,INR,0A,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,35,,0.000,11,40,716.40,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,37,,0.000,11,40,716.40,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,39,,0.000,11,40,660.00,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,41,,0.000,11,40,540.00,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,43,,0.000,11,40,828.00,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,45,,0.000,11,40,166.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,47,,0.000,11,40,540.00,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,49,,0.000,11,40,550.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,51,,0.000,11,40,477.60,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,53,,0.000,11,40,477.60,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,55,,0.000,11,40,540.00,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,57,,0.000,11,40,238.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,59,,0.000,11,40,477.60,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,61,,0.000,11,40,598.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,63,,0.000,11,40,238.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,65,,0.000,11,40,238.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,67,,0.000,11,40,238.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,69,,0.000,11,40,238.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,71,,0.000,11,40,238.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,73,,0.000,11,40,550.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,75,,0.000,11,40,550.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,77,,0.000,11,40,200.00,INR,0A,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,79,,0.000,11,40,200.00,INR,0A,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021619,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,81,,0.000,11,40,550.80,INR,0B,,0072068843,10065000,,,IN01,0.000,S,,,SAPAUTO,E110,,2024/11,K,,S
,5100021620,,,2/25/2025,RE,2/25/2025,20250225,10065000,,0,3,,0.000,11,40,598.80,INR,0B,,0072068995,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1351,,2024/11,K,,S
